,desigcomercial,numbicicletas,numdocasvacias,position,add_data,add_hora,_lat_,_lng_,_type_,_name_
75,463 - Campo Grande / Av. da Igreja,3,7,"{""coordinates"": [-9.14951, 38.75243], ""type"": ""Point""}",2021-07-04,11:11:53.,38.75243,-9.14951,GIRABIKE,463 - Campo Grande / Av. da Igreja
76,Avenida das Gaivotas - Rua dos Corvos,18,2,"{""coordinates"": [-9.180755, 38.769083], ""type"": ""Point""}",2020-09-24,10:52:51.,38.769083,-9.180755,GIRABIKE,Avenida das Gaivotas - Rua dos Corvos
77,407 - Praça Duque de Saldanha,0,17,"{""coordinates"": [-9.14446, 38.73434], ""type"": ""Point""}",2021-07-04,11:11:50.,38.73434,-9.14446,GIRABIKE,407 - Praça Duque de Saldanha
78,216 - Praça D. Luís I,6,15,"{""coordinates"": [-9.14655, 38.70663], ""type"": ""Point""}",2021-07-04,11:11:50.,38.70663,-9.14655,GIRABIKE,216 - Praça D. Luís I
79,115 - Passeio dos Heróis do Mar / Rua Capitão Cook,4,9,"{""coordinates"": [-9.09781, 38.793], ""type"": ""Point""}",2021-07-04,11:11:50.,38.793,-9.09781,GIRABIKE,115 - Passeio dos Heróis do Mar / Rua Capitão Cook
80,108 - Rua do Bojador,2,12,"{""coordinates"": [-9.09235, 38.774289], ""type"": ""Point""}",2021-07-04,11:11:50.,38.774289,-9.09235,GIRABIKE,108 - Rua do Bojador
81,212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,0,20,"{""coordinates"": [-9.12769, 38.71035], ""type"": ""Point""}",2021-07-04,11:11:50.,38.71035,-9.12769,GIRABIKE,212 - Av. Infante Dom Henrique / Terminal de Cruzeiros
82,107 - Rotunda dos Vice-Reis,2,12,"{""coordinates"": [-9.095416, 38.774505], ""type"": ""Point""}",2021-07-04,11:11:50.,38.774505,-9.095416,GIRABIKE,107 - Rotunda dos Vice-Reis
83,450 - Rua Alfredo Cortês,6,4,"{""coordinates"": [-9.14399, 38.74626], ""type"": ""Point""}",2021-07-04,11:11:51.,38.74626,-9.14399,GIRABIKE,450 - Rua Alfredo Cortês
84,306 - Avenida da Liberdade / Rua Alexandre Herculano,4,12,"{""coordinates"": [-9.14854, 38.72281], ""type"": ""Point""}",2021-07-04,11:11:51.,38.72281,-9.14854,GIRABIKE,306 - Avenida da Liberdade / Rua Alexandre Herculano
85,471 - Rua Lopes de Mendonça / EB São João de Brito,5,5,"{""coordinates"": [-9.137337, 38.756487], ""type"": ""Point""}",2021-07-04,11:11:51.,38.756487,-9.137337,GIRABIKE,471 - Rua Lopes de Mendonça / EB São João de Brito
86,225 - Martim Moniz,7,9,"{""coordinates"": [-9.13694, 38.71526], ""type"": ""Point""}",2021-07-04,11:11:51.,38.71526,-9.13694,GIRABIKE,225 - Martim Moniz
87,432 - Praça de Londres,3,7,"{""coordinates"": [-9.1377, 38.7407], ""type"": ""Point""}",2021-07-04,11:11:51.,38.7407,-9.1377,GIRABIKE,432 - Praça de Londres
88,219 - Praça do Município,20,2,"{""coordinates"": [-9.13951, 38.70797], ""type"": ""Point""}",2021-07-04,11:11:52.,38.70797,-9.13951,GIRABIKE,219 - Praça do Município
89,485 - Rua Tomás da Fonseca / Rua António Albino Machado,2,8,"{""coordinates"": [-9.17, 38.756], ""type"": ""Point""}",2021-07-04,11:11:52.,38.756,-9.17,GIRABIKE,485 - Rua Tomás da Fonseca / Rua António Albino Machado
90,472 - Rua Marquês Soveral / ES Padre António Vieira,8,6,"{""coordinates"": [-9.13608, 38.75784], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75784,-9.13608,GIRABIKE,472 - Rua Marquês Soveral / ES Padre António Vieira
91,476 - Av. Professor Gama Pinto / Reitoria,12,11,"{""coordinates"": [-9.15885, 38.75231], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75231,-9.15885,GIRABIKE,476 - Av. Professor Gama Pinto / Reitoria
92,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,4,6,"{""coordinates"": [-9.152295, 38.737911], ""type"": ""Point""}",2021-07-04,11:11:52.,38.737911,-9.152295,GIRABIKE,423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira
93,431 - Rua do Arco Cego / Av. Magalhães Lima,7,7,"{""coordinates"": [-9.14199, 38.73937], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73937,-9.14199,GIRABIKE,431 - Rua do Arco Cego / Av. Magalhães Lima
94,308 - Marquês de Pombal,7,4,"{""coordinates"": [-9.14969, 38.7246], ""type"": ""Point""}",2021-07-04,11:11:53.,38.7246,-9.14969,GIRABIKE,308 - Marquês de Pombal
95,427 - Av. República / Av. Visconde Valmor,3,9,"{""coordinates"": [-9.14617, 38.73812], ""type"": ""Point""}",2021-07-04,11:11:53.,38.73812,-9.14617,GIRABIKE,427 - Av. República / Av. Visconde Valmor
96,468 - Largo Frei Heitor Pinto,8,13,"{""coordinates"": [-9.13827, 38.75482], ""type"": ""Point""}",2021-07-04,11:11:53.,38.75482,-9.13827,GIRABIKE,468 - Largo Frei Heitor Pinto
