,X,Y,OBJECTID,COD_SIG_ESTACIONAMENTO,COD_SIG_PROPOSTA,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,FOTO,TIPO_ESTACIONAMENTO,NUM_SUPORTES,MODELO,CAPACIDADE,FONTE_LEVANTAMENTO,BALIZADORES,DOMINIALIDADE,DATA_INSTALACAO,SV_TIPO,SV_NUM_SERIE,ESTACIONAMENTO_ESTADO,EST_ESTADO_OBS,OBS,DEPM_VALIDACAO,CTRL_EDICOES,COBERTO,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
268,-9.14887270452318,38.7352564811432,269,41,1107.0,AVENIDAS NOVAS,"R Marquês de Tomar 
",Jardim (Quiosque),Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\41.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2018/11/20 00:00:00+00,,,,,BICIWAY 54,2019/04/29 00:00:00+00,2021/02/05 00:00:00+00,NÃO,25853,9207,,769cb8d6-aee4-4e89-99f2-3f9f5dbdabc2,38.7352564811432,-9.14887270452318,BICICLETA,"R Marquês de Tomar 
 - Jardim (Quiosque) - Passeio"
269,-9.15009171297384,38.7298154924872,270,42,1108.0,AVENIDAS NOVAS,"Av António Augusto Aguiar
","Frente à saida do metro ""Parque""",Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\42.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2018/11/20 00:00:00+00,,,,,BICIWAY 51,2019/04/29 00:00:00+00,2020/01/14 00:00:00+00,NÃO,25854,9207,,c1072b73-deb3-4413-b30e-911ee80b4c2a,38.7298154924872,-9.15009171297384,BICICLETA,"Av António Augusto Aguiar
 - Frente à saida do metro ""Parque"" - Passeio"
270,-9.14206884300168,38.7362969344617,271,43,1097.0,AVENIDAS NOVAS,"Av João Crisostomo
",Jardim do Arco do Cego,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\43.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,1970/01/01 00:00:00+00,,,,,BICIWAY 56,2019/02/19 00:00:00+00,2020/01/14 00:00:00+00,NÃO,25855,9207,,36ec9c35-8404-4d78-8d35-294cc8a0ff73,38.7362969344617,-9.14206884300168,BICICLETA,"Av João Crisostomo
 - Jardim do Arco do Cego - Passeio"
271,-9.14767716186437,38.7367392877781,272,44,1095.0,AVENIDAS NOVAS,"Av 5 Outubro, frente ao 77 
",No separador central,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\44.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2018/11/20 00:00:00+00,,,,,BICIWAY 57,2019/04/29 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25856,9207,,74a6c895-70d2-4a0b-8fe0-e2435a4d1e2c,38.7367392877781,-9.14767716186437,BICICLETA,"Av 5 Outubro, frente ao 77 
 - No separador central - Passeio"
272,-9.1129228850308,38.7631948850922,273,45,,OLIVAIS,"R Cidade de Lobito, entrada Quinta Pedagógica",<Null>,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\45.jpg,BICICLETA,5.0,Sheffield estreito,10.0,<Null>,,Público,1970/01/01 00:00:00+00,,,,, ,1970/01/01 00:00:00+00,2021/01/19 00:00:00+00,NÃO,25857,9207,,09690ada-0c37-4fe7-a11e-882af1979d30,38.7631948850922,-9.1129228850308,BICICLETA,"R Cidade de Lobito, entrada Quinta Pedagógica - <Null> - Passeio"
273,-9.14550667403446,38.7065778296018,274,46,48.0,MISERICÓRDIA,"Av 24 Julho, em frente Pç da Ribeira ",Entre caldeira e candeeiro ,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\46.jpg,BICICLETA,6.0,Sheffield Standard,12.0,DEPM,0.0,Público,2019/07/04 00:00:00+00,,,,, ,2018/11/21 00:00:00+00,2021/01/19 00:00:00+00,NÃO,25858,9207,,d98f1d9a-0ed5-4b1f-98b4-f04dac27247e,38.7065778296018,-9.14550667403446,BICICLETA,"Av 24 Julho, em frente Pç da Ribeira  - Entre caldeira e candeeiro  - Passeio"
274,-9.18677899900879,38.7398533022243,275,47,,BENFICA,Estrada do Barçal,Centro de Interpretação Ambiental CML,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\47.jpg,BICICLETA,1.0,Onda,5.0,<Null>,,Público,1970/01/01 00:00:00+00,,,,, ,2018/11/21 00:00:00+00,2020/12/30 00:00:00+00,SIM,25859,9207,,a445de31-6c0c-4fc1-b428-07188814b46f,38.7398533022243,-9.18677899900879,BICICLETA,Estrada do Barçal - Centro de Interpretação Ambiental CML - Passeio
275,-9.16073928054311,38.7539105665956,276,48,,ALVALADE,"Av Professor Egas Moniz, Pavilhão 3 - Estádio Universitário",<Null>,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\48.jpg,BICICLETA,7.0, ,14.0,Cidade Ciclável,0.0,Público,1970/01/01 00:00:00+00,,,,, ,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25860,9207,,8928b366-123d-4f32-9f29-a7314914da3a,38.7539105665956,-9.16073928054311,BICICLETA,"Av Professor Egas Moniz, Pavilhão 3 - Estádio Universitário - <Null> - Passeio"
276,-9.14960381368853,38.7490127478415,277,49,,ALVALADE," Campo Grande, 9 ",,Lugar estacionamento automóvel,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\49.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,1970/01/01 00:00:00+00,,,,, ,2018/11/21 00:00:00+00,2021/01/29 00:00:00+00,NÃO,25861,9207,,0fc48da0-c3a2-4cc7-9a3f-bf58e9e31826,38.7490127478415,-9.14960381368853,BICICLETA," Campo Grande, 9  - nan - Lugar estacionamento automóvel"
277,-9.15093567659001,38.7260098393481,278,50,,AVENIDAS NOVAS,"Praça do Marquês de Pombal
",Perto acesso peões parque subterrâneo,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\50.jpg,BICICLETA,5.0,Sheffield Standard,10.0,,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/01/28 00:00:00+00,NÃO,25862,9207,,46414312-6dd8-49ba-9daf-4d19df180c17,38.7260098393481,-9.15093567659001,BICICLETA,"Praça do Marquês de Pombal
 - Perto acesso peões parque subterrâneo - Passeio"
278,-9.15047337839198,38.7262355155484,279,51,163.0,AVENIDAS NOVAS,Parque Eduardo VII / entrada estacionamento,Ao lado estacionamento bicicletas existente,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\51.jpg,HOTSPOT,4.0,Sheffield Standard,13.0,DEPM,0.0,Público,2019/03/16 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/02/03 00:00:00+00,NÃO,25863,9207,,c28d8871-7992-472b-9a6b-2b359e8cda61,38.7262355155484,-9.15047337839198,HOTSPOT,Parque Eduardo VII / entrada estacionamento - Ao lado estacionamento bicicletas existente - Passeio
279,-9.14738774983265,38.7300661295863,280,52,,AVENIDAS NOVAS,"R Andrade Corvo, 27",<Null>,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\52.jpg,BICICLETA,4.0,Sheffield Standard,8.0,,0.0,Público,1970/01/01 00:00:00+00,,,,,,2018/11/21 00:00:00+00,2021/01/28 00:00:00+00,NÃO,25864,9207,,3d334eee-1d3e-4158-bf4d-720ab3507ce1,38.7300661295863,-9.14738774983265,BICICLETA,"R Andrade Corvo, 27 - <Null> - Passeio"
