X,Y,OBJECTID,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,TIPO_ESTACIONAMENTO,COD_SIG_PROPOSTA,NUM_SUPORTES,ESTADO,COD_SIG_HS,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,DATA_INSTALACAO,COBERTO,GlobalID
-9.14546113394111,38.7370590416898,122,AVENIDAS NOVAS,Av da República 28A,"Último lugar de estacionamento oblíquo na placa central, antes da passadeira e cruz. com  Av. Miguel Bombarda",Lugar estacionamento automóvel,HOTSPOT,166011,2,CONCLUÍDO,166011,5678,9222,,1970/01/01 00:00:00+00,,71449807-0b3b-40a4-8de3-6c2368df2177
-9.14632636517163,38.7410911480461,123,AVENIDAS NOVAS,Av Republica 56D,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com Campo Pequeno",Lugar estacionamento automóvel,HOTSPOT,116073,2,CONCLUÍDO,116073,5679,9222,,1970/01/01 00:00:00+00,,2d301296-ba35-40ad-8429-116bfd2c3038
-9.14490376973151,38.7413538818356,124,AVENIDAS NOVAS,Av Defensores de Chaves 99,"1º lugar de estacionamento transversal na placa central, após cruz. com o Campo Pequeno",Lugar estacionamento automóvel,HOTSPOT,146324,2,CONCLUÍDO,146324,5680,9222,,1970/01/01 00:00:00+00,,3e086727-7e82-4e3e-b2c2-79d3a2314a40
-9.13936163873896,38.7380827682901,125,AREEIRO,Av António José Almeida - entrada do IST,Último lugar de estacionamento longitudinal junto ao muro (o lugar que antecede o portão de entrada do IST),Lugar estacionamento automóvel,HOTSPOT,80345,2,CONCLUÍDO,80345,5681,9222,,1970/01/01 00:00:00+00,,4a4baa12-317e-4b67-abf4-5414639d6f4d
-9.14378626641638,38.7547246533633,126,ALVALADE,Rua Luís Augusto Palmeirim em frente ao 13,Raia,Via,HOTSPOT,802,2,CONCLUÍDO,802,5682,9222,,1970/01/01 00:00:00+00,,10c761d1-5c7c-441d-a745-36dfff8dfa00
-9.1428536462682,38.7549289370112,127,ALVALADE,Rua Acácio de Paiva em frente ao 13c,Raia,Via,HOTSPOT,803,3,CONCLUÍDO,803,5683,9222,,1970/01/01 00:00:00+00,,b39b9420-196d-4f35-96c7-4ca1effa8fce
-9.14156839964176,38.7541159678359,128,ALVALADE,Rua José d'Esaguy em frente ao 1a,Raia,Via,HOTSPOT,807,2,CONCLUÍDO,807,5684,9222,,1970/01/01 00:00:00+00,,96b2677e-e163-49c5-8ec0-95822afeb0c7
-9.14112809489683,38.754878450925,129,ALVALADE,Rua José Duro em frente ao 25,Raia,Via,HOTSPOT,811,2,CONCLUÍDO,811,5685,9222,,1970/01/01 00:00:00+00,,a02296df-8019-413a-bc2a-8d1af94afa4a
-9.15112197819679,38.7400382931685,130,AVENIDAS NOVAS,Av Berna 26 (Entrada da Faculdade Ciências Sociais e Humanas),"Lugar de estacionamento longitudinal junto ao muro, antes do lugar de motociclos existente",Lugar estacionamento automóvel,HOTSPOT,115979,2,CONCLUÍDO,115979,5686,9222,,1970/01/01 00:00:00+00,,bb8003b6-0bb1-4829-9c03-ae05696dcd68
-9.14698189458055,38.734285879619,131,AVENIDAS NOVAS,Av 5 de Outubro 20,Último lugar de estacionamento longitudinal (junto aos edifícios/café),Lugar estacionamento automóvel,HOTSPOT,74264,2,CONCLUÍDO,74264,5687,9222,,1970/01/01 00:00:00+00,,2fd487b6-181c-4912-8c7d-453a766fa974
-9.14854211641378,38.733792666748,132,AVENIDAS NOVAS,R Filipe Folque 32,"1º lugar de estacionamento longitudinal na placa central, a seguir ao cruz. com R. Pinheiro Chagas",Lugar estacionamento automóvel,HOTSPOT,95531,2,CONCLUÍDO,95531,5688,9222,,1970/01/01 00:00:00+00,,f7519702-b4e6-41dd-9eca-f77fe5bcc1b7
-9.14378049743561,38.7328114913259,133,ARROIOS,R Fernão Lopes 1,"Último lugar de estacionamento longitudinal junto aos edifícios (caixa MB), antes do cruz. com Av. Casal Ribeiro",Lugar estacionamento automóvel,HOTSPOT,94959,2,CONCLUÍDO,94959,5689,9222,,1970/01/01 00:00:00+00,,c05d7684-f69d-4363-9c79-b16e0f0bd826
-9.14612910950828,38.744496974661,134,AVENIDAS NOVAS,R Chaby Pinheiro 21,"Lugar de estacionamento longitudinal junto aos edifícios, antes da entrada/saída de garagem junto ao entroc. com R. Isidoro Viana",Lugar estacionamento automóvel,HOTSPOT,92650,2,CONCLUÍDO,92650,5690,9222,,1970/01/01 00:00:00+00,,906d2cd8-ecf7-471c-a41f-7f11aa65991c
-9.144756226836,38.7438759497948,135,AVENIDAS NOVAS,R Entrecampos 1,"Lugar de estacionamento transversal, junto aos edifícios, antes de lugar para motociclos existente. ",Lugar estacionamento automóvel,HOTSPOT,999997,2,CONCLUÍDO,999997,5691,9222,,1970/01/01 00:00:00+00,,349fdda7-3917-409e-97ce-d6a12a2cce3d
-9.14673895778837,38.7282321595117,136,ARROIOS,R Sousa Martins 1,"Lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com o Lgo das Palmeiras (antes da esquina, limita com a luminária)",Lugar estacionamento automóvel,HOTSPOT,105087,2,CONCLUÍDO,105087,5692,9222,,1970/01/01 00:00:00+00,,9fde3dd5-bd00-4960-b52e-e2d14acb8668
-9.14670026645078,38.7265960490726,137,SANTO ANTÓNIO,R Sociedade Farmaceutica 47,"Ultimo lugar de estacionamento oblíquo junto aos edifícios, antes da passadeira e do cruz. com a Av. Duque de Loulé",Lugar estacionamento automóvel,HOTSPOT,130278,2,CONCLUÍDO,130278,5693,9222,,1970/01/01 00:00:00+00,,4246a477-8834-4a2b-9c67-1837bde04a4a
-9.14352084479265,38.7356681842885,138,AVENIDAS NOVAS,Av Defensores de Chaves 33 C,"Lugar de estacionamento oblíquo na placa central,em frente ao 33c (antes da última árvore)",Lugar estacionamento automóvel,HOTSPOT,148670,2,CONCLUÍDO,148670,5694,9222,,1970/01/01 00:00:00+00,,083ef285-29cd-4251-b856-76c7784d4fc3
-9.14715659354711,38.7262817560281,139,SANTO ANTÓNIO,Rua Santa Marta 78,1º lugar de estacionamento longitudinal junto aos edifícios,Lugar estacionamento automóvel,HOTSPOT,126110,2,CONCLUÍDO,126110,5695,9222,,1970/01/01 00:00:00+00,,ac6a435c-7854-40a8-9b4d-cdf237c32109
-9.14921567321382,38.7325661979924,140,AVENIDAS NOVAS,R Filipe Folque 24 A ,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz.com a R. Latino Coelho (após a entrada/saída garagem)",Lugar estacionamento automóvel,HOTSPOT,95434,2,CONCLUÍDO,95434,5696,9222,,1970/01/01 00:00:00+00,,5ed18aab-54a8-4fbd-b336-eb3ac29c538e
-9.15060775468039,38.7308579416652,141,AVENIDAS NOVAS,Rua Filipe Folque  (antes da porta 1),"1º lugar de estacionamento longitudinal junto aos edifícios, a seguir ao cruz com a Av. António Augusto Aguiar entre a passadeira e vidrão.",Lugar estacionamento automóvel,HOTSPOT,95420,2,CONCLUÍDO,95420,5697,9222,,1970/01/01 00:00:00+00,,eca3fe49-b316-4d65-80a2-1dd32781ca32
-9.14897150033983,38.7283226223708,142,AVENIDAS NOVAS,Av António Augusto de Aguiar 3 (Entrada da Ordem dos Engenheiros),"Lugar de estacionamento longitudinal junto aos edifícios, antes do lugar para motociclos existente",Lugar estacionamento automóvel,HOTSPOT,115272,2,CONCLUÍDO,115272,5698,9222,,1970/01/01 00:00:00+00,,cd5ac1ca-9892-4f05-8edb-57f48230c860
-9.14846015861882,38.7259394463986,143,SANTO ANTÓNIO,R Camilo Castelo Branco 43,"1º lugar de estacionamento longitudinal junto aos edifícios, após lugar reservado a deficientes",Lugar estacionamento automóvel,HOTSPOT,90790,2,CONCLUÍDO,90790,5699,9222,,1970/01/01 00:00:00+00,,c59b621f-f316-485f-bb87-1a0deae6a19c
-9.14767251757434,38.7281756655431,144,ARROIOS,Largo Andaluz,Ultimo lugar de estacionamento longitudinal antes dos lugares reservados a Tomada e Largada de passageiros de Hotel,Lugar estacionamento automóvel,HOTSPOT,84725,2,CONCLUÍDO,84725,5700,9222,,1970/01/01 00:00:00+00,,e5aa93b3-749c-434c-9ac1-4b413232ec18
-9.14383713262102,38.7294061487869,145,ARROIOS,Praça José Fontana 4,"Último lugar de estacionamento longitudinal junto aos edifícios, antes do cruz. com a Av. Duque de Loulé",Lugar estacionamento automóvel,HOTSPOT,130423,2,CONCLUÍDO,130423,5701,9222,,1970/01/01 00:00:00+00,,93698ccb-6aba-4a8f-8890-f63f1d7405f4
-9.14421575095373,38.7317130349784,146,ARROIOS,R Actor Taborda 55,"1º lugar de estacionamento longitudinal na placa central, depois do cruz. com a R Engª Vieira da Silva",Lugar estacionamento automóvel,HOTSPOT,86171,2,CONCLUÍDO,86171,5702,9222,,1970/01/01 00:00:00+00,,62400155-d291-4b53-a10c-426030f3be52
-9.14237167766039,38.7314153494392,147,ARROIOS,R Almirante Barroso 32A,Lugar de estacionamento longitudinal junto aos edifícios entre a passadeira e a entrada/saída de garagem,Lugar estacionamento automóvel,HOTSPOT,130429,2,CONCLUÍDO,130429,5703,9222,,1970/01/01 00:00:00+00,,4c82e425-dc39-4f15-a017-0de84b89d0c9
-9.14239321656596,38.7324025579161,148,ARROIOS,Av Casal Ribeiro 28,"Lugar de estacionamento longitudinal, entre a entrada/saída de garagem e o do lugar de motociclos existente (lugar isolado)",Lugar estacionamento automóvel,HOTSPOT,73976,2,CONCLUÍDO,73976,5704,9222,,1970/01/01 00:00:00+00,,55984842-3493-4753-9060-e238e10e1a84
-9.1412374980203,38.7331310217642,149,ARROIOS,R Dona Estefania 165,"Último lugar de estacionamento longitudinal junto aos edifícios, antes da passadeira e do semáforo",Lugar estacionamento automóvel,HOTSPOT,148709,2,CONCLUÍDO,148709,5705,9222,,1970/01/01 00:00:00+00,,2007f427-4678-4522-a9b3-81a01d3ccb2d
-9.14064665360008,38.7369986419387,150,AREEIRO,R Alves Redol 13A,"Último lugar de estacionamento longitudinal junto aos edifícios, antes da raia/passadeira ",Lugar estacionamento automóvel,HOTSPOT,87055,2,CONCLUÍDO,87055,5706,9222,,1970/01/01 00:00:00+00,,d9467c8f-79bc-4bae-bdb9-7308043c594e
-9.14428116447608,38.7373906984632,151,AVENIDAS NOVAS,Av Miguel Bombarda 1A,"1º lugar de estacionamento longitudinal junto aos edifícios, após cruz. com Av. Defensores de Chaves",Lugar estacionamento automóvel,HOTSPOT,146196,2,CONCLUÍDO,146196,5707,9222,,1970/01/01 00:00:00+00,,407cc6a8-8f50-4141-a630-334a97605e34
-9.14149367957305,38.7377952043096,152,AREEIRO,Av António José Almeida 5D (entrada do centro comercial),1º lugar de estacionamento longitudinal após a entrada/saída de garagem do C.C. S. João de Deus,Lugar estacionamento automóvel,HOTSPOT,80452,2,CONCLUÍDO,80452,5708,9222,,1970/01/01 00:00:00+00,,fb66ffa4-9cce-4e80-b0fb-6d5db36deeaf
