,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
81,-9.14495036534529,38.7434539145889,82,2306,4,Campo Pequeno,Bebedouro no Parque Infantil do Jardim Marquês de Marialva,Bebedouro,,c06d4833-d6cc-4a85-acb8-e5472efc06bb,38.7434539145889,-9.14495036534529,BEBEDOURO,Bebedouro no Parque Infantil do Jardim Marquês de Marialva - Campo Pequeno
82,-9.14357519915555,38.737801840657,83,2307,4,Avenida de António José de Almeida,Bebedouro no Parque Infantil do Jardim Gomes de Amorim,Bebedouro,,3f908da1-2462-44f0-9fd9-f73ab52f856e,38.737801840657,-9.14357519915555,BEBEDOURO,Bebedouro no Parque Infantil do Jardim Gomes de Amorim - Avenida de António José de Almeida
83,-9.09348345636852,38.7614693355653,84,3363,4,Passeio de Ulisses,Lago Ilha no Passeio de Ulisses,Lago,,20120ff9-0bae-411b-bb80-e274015a35b5,0.0,0.0,,
84,-9.12107704737498,38.7697605560275,85,3373,4,Avenida de Berlim,Bebedouro no Parque Urbano dos Olivais,Bebedouro,,3633de07-aa9c-472a-917f-fb3714a30a94,38.7697605560275,-9.12107704737498,BEBEDOURO,Bebedouro no Parque Urbano dos Olivais - Avenida de Berlim
85,-9.10878496186285,38.7723727453233,86,3374,4,Avenida Dr. Francisco Luís Gomes,Bebedouro junto ao Parque Infantil da Quinta Conde dos Arcos,Bebedouro,,4897420b-778b-462a-b8da-91c291ff9523,38.7723727453233,-9.10878496186285,BEBEDOURO,Bebedouro junto ao Parque Infantil da Quinta Conde dos Arcos - Avenida Dr. Francisco Luís Gomes
86,-9.18652738988087,38.7741639819734,87,1134,4,Rua do Rio Zêzere(antiga Rua 7A do Bairro Padre Cruz),Bica 16 Cemitério de Carnide,Bica,,be2aa993-a008-422e-a5f4-e47afa9bd828,0.0,0.0,,
87,-9.1881697195277,38.7733957281361,88,1137,4,Rua do Rio Zêzere(antiga Rua 7A do Bairro Padre Cruz),Bica 19 Cemitério de Carnide,Bica,,dd33be40-f126-4ffd-bd62-817a07941216,0.0,0.0,,
88,-9.14655519392229,38.7788542473101,89,1315,4,Eixo Central(Alto do Lumiar),Furo de captação Eixo Central F1,Furo de captação,,aef6a1ec-3645-450e-a932-786e570898c0,0.0,0.0,,
89,-9.12679291883169,38.7496547189758,90,2130,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 2 no Parque da Belavista Central,Bebedouro,,390166e3-5865-4553-8327-bc7b425bf936,38.7496547189758,-9.12679291883169,BEBEDOURO,Bebedouro 2 no Parque da Belavista Central - Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas)
90,-9.12788141374969,38.7509265268154,91,2131,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 3 no Parque da Belavista Central,Bebedouro,,ea4a06ca-c49c-48cc-9c8f-9b008f15ebd5,38.7509265268154,-9.12788141374969,BEBEDOURO,Bebedouro 3 no Parque da Belavista Central - Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas)
